date,close,adj_close
2002-10-09,5.320000,1.900103
2002-10-10,6.160000,2.200119
2002-10-11,6.460000,2.307268
2002-10-14,5.970000,2.132259
2002-10-15,7.000000,2.500136
2002-10-16,6.780000,2.421560
2002-10-17,7.740000,2.764436
2002-10-18,7.620000,2.721576
2002-10-21,8.250000,2.946588
2002-10-22,8.200000,2.928730
2002-10-23,8.280000,2.957303
2002-10-24,8.080000,2.885871
2002-10-25,8.000000,2.857298
2002-10-28,7.710000,2.753721
2002-10-29,7.360000,2.628714
2002-10-30,7.560000,2.700147
2002-10-31,7.230000,2.582283
2002-11-01,7.480000,2.671574
2002-11-04,7.680000,2.743006
2002-11-05,7.620000,2.721576
2002-11-06,7.830000,2.796580
2002-11-07,7.580000,2.707290
2002-11-08,7.770000,2.775151
2002-11-11,7.200000,2.571568
2002-11-12,7.240000,2.585855
2002-11-13,7.400000,2.643001
2002-11-14,7.580000,2.707290
2002-11-15,7.430000,2.653715
2002-11-18,7.450000,2.660859
2002-11-19,7.080000,2.528709
2002-11-20,7.360000,2.628714
2002-11-21,7.830000,2.796580
2002-11-22,7.630000,2.725148
2002-11-25,7.760000,2.771579
2002-11-26,7.430000,2.653715
2002-11-27,8.730000,3.118026
2002-11-29,8.380000,2.993020
2002-12-02,8.660000,3.093025
2002-12-03,8.270000,2.953732
2002-12-04,8.350000,2.982305
2002-12-05,8.550000,3.053737
2002-12-06,8.710000,3.110883
2002-12-09,8.170000,2.918015
2002-12-10,7.970000,2.846583
2002-12-11,7.970000,2.846583
2002-12-12,7.850000,2.803724
2002-12-13,7.920000,2.828725
2002-12-16,8.460000,3.021593
2002-12-17,8.350000,2.982305
2002-12-18,8.110000,2.896586
2002-12-19,8.060000,2.878728
2002-12-20,8.480000,3.028736
2002-12-23,8.320000,2.971590
2002-12-24,8.170000,2.918015
2002-12-26,8.100000,2.893014
2002-12-27,8.100000,2.893014
2002-12-30,7.900000,2.821582
2002-12-31,8.000000,2.857298
2003-01-02,8.140000,2.907301
2003-01-03,7.970000,2.846583
2003-01-06,8.020000,2.864441
2003-01-07,7.910000,2.825153
2003-01-08,7.820000,2.793009
2003-01-09,7.720000,2.762946
2003-01-10,7.910000,2.830946
2003-01-13,7.820000,2.798735
2003-01-14,7.700000,2.755788
2003-01-15,7.200000,2.576840
2003-01-16,7.260000,2.598314
2003-01-17,7.150000,2.558946
2003-01-21,6.580000,2.354946
2003-01-22,6.720000,2.405051
2003-01-23,6.360000,2.276209
2003-01-24,6.290000,2.251156
2003-01-27,6.140000,2.197472
2003-01-28,6.010000,2.150946
2003-01-29,5.860000,2.097262
2003-01-30,5.680000,2.032841
2003-01-31,5.690000,2.036420
2003-02-03,5.610000,2.007788
2003-02-04,6.160000,2.204630
2003-02-05,6.270000,2.243999
2003-02-06,6.480000,2.319156
2003-02-07,6.310000,2.258314
2003-02-10,6.340000,2.269051
2003-02-11,6.450000,2.308420
2003-02-12,5.950000,2.129472
2003-02-13,6.090000,2.179578
2003-02-14,6.230000,2.229683
2003-02-18,6.110000,2.186735
2003-02-19,5.720000,2.047157
2003-02-20,6.010000,2.150946
2003-02-21,5.770000,2.065051
2003-02-24,5.340000,1.911157
2003-02-25,5.620000,2.011367
2003-02-26,5.740000,2.054314
2003-02-27,5.880000,2.104420
2003-02-28,6.010000,2.150946
2003-03-03,6.010000,2.150946
2003-03-04,5.910000,2.115157
2003-03-05,5.990000,2.143788
2003-03-06,5.990000,2.143788
2003-03-07,6.190000,2.215367
2003-03-10,5.800000,2.075788
2003-03-11,5.500000,1.968420
2003-03-12,5.540000,1.982736
2003-03-13,6.090000,2.179578
2003-03-14,6.440000,2.304841
2003-03-17,6.970000,2.494525
2003-03-18,7.400000,2.648419
2003-03-19,7.180000,2.569683
2003-03-20,7.350000,2.630525
2003-03-21,7.970000,2.852419
2003-03-24,7.360000,2.634104
2003-03-25,7.300000,2.612630
2003-03-26,7.250000,2.594735
2003-03-27,6.880000,2.462314
2003-03-28,6.510000,2.329893
2003-03-31,6.380000,2.283367
2003-04-01,6.290000,2.251156
2003-04-02,6.830000,2.444419
2003-04-03,6.460000,2.311998
2003-04-04,6.840000,2.447998
2003-04-07,7.380000,2.641261
2003-04-08,6.930000,2.480209
2003-04-09,6.880000,2.462314
2003-04-10,7.110000,2.544630
2003-04-11,7.030000,2.515998
2003-04-14,7.230000,2.587577
2003-04-15,7.880000,2.820209
2003-04-16,7.810000,2.800843
2003-04-17,8.330000,2.987327
2003-04-21,8.100000,2.904844
2003-04-22,8.690000,3.116431
2003-04-23,8.540000,3.062638
2003-04-24,8.440000,3.026775
2003-04-25,8.540000,3.062638
2003-04-28,8.720000,3.127190
2003-04-29,8.830000,3.166638
2003-04-30,8.750000,3.137948
2003-05-01,8.660000,3.105672
2003-05-02,9.120000,3.270639
2003-05-05,9.260000,3.320846
2003-05-06,9.410000,3.374639
2003-05-07,9.230000,3.310087
2003-05-08,8.730000,3.130776
2003-05-09,8.820000,3.163052
2003-05-12,9.010000,3.231190
2003-05-13,8.580000,3.076983
2003-05-14,8.230000,2.951465
2003-05-15,7.850000,2.815188
2003-05-16,7.690000,2.757808
2003-05-19,7.370000,2.643049
2003-05-20,7.500000,2.689670
2003-05-21,7.620000,2.732705
2003-05-22,7.600000,2.725532
2003-05-23,7.900000,2.833119
2003-05-27,8.120000,2.912016
2003-05-28,8.150000,2.922775
2003-05-29,8.050000,2.886913
2003-05-30,8.970000,3.216845
2003-06-02,9.130000,3.274225
2003-06-03,9.260000,3.320846
2003-06-04,9.500000,3.406915
2003-06-05,8.880000,3.184569
2003-06-06,8.560000,3.069810
2003-06-09,8.330000,2.987327
2003-06-10,8.380000,3.005258
2003-06-11,8.690000,3.116431
2003-06-12,8.610000,3.087741
2003-06-13,8.260000,2.962223
2003-06-16,8.830000,3.166638
2003-06-17,8.330000,2.987327
2003-06-18,8.190000,2.937120
2003-06-19,8.200000,2.940706
2003-06-20,7.970000,2.858223
2003-06-23,7.600000,2.725532
2003-06-24,7.510000,2.693256
2003-06-25,7.490000,2.686084
2003-06-26,7.740000,2.775739
2003-06-27,7.900000,2.833119
2003-06-30,7.750000,2.779326
2003-07-01,8.070000,2.894085
2003-07-02,8.470000,3.046595
2003-07-03,8.450000,3.039401
2003-07-07,8.900000,3.201262
2003-07-08,9.340000,3.359527
2003-07-09,9.340000,3.359527
2003-07-10,9.200000,3.309170
2003-07-11,9.410000,3.384705
2003-07-14,9.660000,3.474628
2003-07-15,10.420000,3.747995
2003-07-16,10.870000,3.909856
2003-07-17,9.560000,3.438659
2003-07-18,9.740000,3.503404
2003-07-21,9.690000,3.485419
2003-07-22,9.690000,3.485419
2003-07-23,9.740000,3.503404
2003-07-24,9.680000,3.481822
2003-07-25,9.880000,3.553761
2003-07-28,9.830000,3.535776
2003-07-29,9.730000,3.499807
2003-07-30,9.860000,3.546567
2003-07-31,9.730000,3.499807
2003-08-01,9.410000,3.384705
2003-08-04,9.390000,3.377512
2003-08-05,9.400000,3.381108
2003-08-06,9.070000,3.262410
2003-08-07,9.480000,3.409884
2003-08-08,9.660000,3.474628
2003-08-11,9.860000,3.546567
2003-08-12,9.960000,3.582536
2003-08-13,9.790000,3.521388
2003-08-14,10.010000,3.600521
2003-08-15,10.280000,3.697638
2003-08-18,10.430000,3.751592
2003-08-19,10.470000,3.765979
2003-08-20,10.330000,3.715622
2003-08-21,10.200000,3.668862
2003-08-22,9.980000,3.589730
2003-08-25,10.030000,3.607715
2003-08-26,10.080000,3.625699
2003-08-27,10.080000,3.625699
2003-08-28,10.090000,3.629296
2003-08-29,10.310000,3.708429
2003-09-02,10.470000,3.765979
2003-09-03,10.700000,3.848709
2003-09-04,10.850000,3.902662
2003-09-05,10.800000,3.884678
2003-09-08,11.040000,3.971004
2003-09-09,11.340000,4.078912
2003-09-10,11.110000,3.996182
2003-09-11,11.200000,4.028555
2003-09-12,11.110000,3.996182
2003-09-15,11.200000,4.028555
2003-09-16,11.190000,4.024958
2003-09-17,10.850000,3.902662
2003-09-18,10.740000,3.863096
2003-09-19,10.460000,3.762382
2003-09-22,10.490000,3.773173
2003-09-23,10.470000,3.765979
2003-09-24,9.910000,3.564552
2003-09-25,9.710000,3.492613
2003-09-26,9.200000,3.309170
2003-09-29,9.320000,3.352333
2003-09-30,9.020000,3.244425
2003-10-01,9.800000,3.524985
2003-10-02,9.670000,3.487121
2003-10-03,10.200000,3.678246
2003-10-06,9.960000,3.591699
2003-10-07,9.960000,3.591699
2003-10-08,9.780000,3.526788
2003-10-09,10.030000,3.616942
2003-10-10,10.070000,3.631366
2003-10-13,10.380000,3.743156
2003-10-14,10.910000,3.934280
2003-10-15,10.610000,3.826097
2003-10-16,9.280000,3.346482
2003-10-17,8.170000,2.946203
2003-10-20,8.320000,3.000294
2003-10-21,8.220000,2.964233
2003-10-22,8.060000,2.906535
2003-10-23,8.190000,2.953415
2003-10-24,8.460000,3.050780
2003-10-27,8.980000,3.238299
2003-10-28,8.950000,3.227480
2003-10-29,9.130000,3.292390
2003-10-30,9.030000,3.256329
2003-10-31,8.790000,3.169782
2003-11-03,8.920000,3.216662
2003-11-04,8.870000,3.198631
2003-11-05,8.790000,3.169782
2003-11-06,8.690000,3.133721
2003-11-07,8.490000,3.061599
2003-11-10,8.380000,3.021931
2003-11-11,8.320000,3.000294
2003-11-12,8.390000,3.025537
2003-11-13,8.650000,3.119297
2003-11-14,8.550000,3.083235
2003-11-17,8.500000,3.065205
2003-11-18,7.980000,2.877686
2003-11-19,7.960000,2.870474
2003-11-20,7.800000,2.812776
2003-11-21,7.800000,2.812776
2003-11-24,8.020000,2.892111
2003-11-25,8.750000,3.155358
2003-11-26,8.780000,3.166176
2003-11-28,8.790000,3.169782
2003-12-01,9.030000,3.256329
2003-12-02,9.010000,3.249117
2003-12-03,9.000000,3.245511
2003-12-04,9.150000,3.299603
2003-12-05,9.020000,3.252723
2003-12-08,9.590000,3.458272
2003-12-09,9.580000,3.454666
2003-12-10,9.670000,3.487121
2003-12-11,9.680000,3.490727
2003-12-12,9.730000,3.508758
2003-12-15,9.750000,3.515970
2003-12-16,9.800000,3.534001
2003-12-17,9.810000,3.537607
2003-12-18,9.900000,3.570062
2003-12-19,9.820000,3.541213
2003-12-22,10.100000,3.642184
2003-12-23,10.440000,3.764793
2003-12-24,10.340000,3.728731
2003-12-26,10.210000,3.681852
2003-12-29,10.370000,3.739550
2003-12-30,10.650000,3.840521
2003-12-31,10.010000,3.609729
2004-01-02,10.450000,3.768399
2004-01-05,10.240000,3.692670
2004-01-06,10.230000,3.689064
2004-01-07,10.280000,3.707095
2004-01-08,10.340000,3.737821
2004-01-09,10.020000,3.622144
2004-01-12,10.170000,3.676368
2004-01-13,9.880000,3.571535
2004-01-14,9.840000,3.557076
2004-01-15,9.580000,3.463088
2004-01-16,9.520000,3.441398
2004-01-20,9.530000,3.445013
2004-01-21,9.820000,3.549846
2004-01-22,9.610000,3.473933
2004-01-23,9.930000,3.589610
2004-01-26,9.860000,3.564306
2004-01-27,9.980000,3.607684
2004-01-28,9.640000,3.484777
2004-01-29,9.510000,3.437784
2004-01-30,9.000000,3.253423
2004-02-02,8.940000,3.231733
2004-02-03,8.730000,3.155820
2004-02-04,8.380000,3.029298
2004-02-05,8.950000,3.235348
2004-02-06,9.130000,3.300417
2004-02-09,9.170000,3.314876
2004-02-10,9.460000,3.419709
2004-02-11,9.580000,3.463088
2004-02-12,9.980000,3.607684
2004-02-13,10.040000,3.629374
2004-02-17,9.590000,3.466703
2004-02-18,9.530000,3.445013
2004-02-19,9.340000,3.376330
2004-02-20,9.340000,3.376330
2004-02-23,9.190000,3.322106
2004-02-24,9.250000,3.343796
2004-02-25,9.440000,3.412479
2004-02-26,9.530000,3.445013
2004-02-27,9.640000,3.484777
2004-03-01,10.110000,3.654678
2004-03-02,10.260000,3.708902
2004-03-03,10.090000,3.647449
2004-03-04,9.840000,3.557076
2004-03-05,10.000000,3.614914
2004-03-08,9.760000,3.528156
2004-03-09,9.680000,3.499237
2004-03-10,9.420000,3.405249
2004-03-11,9.770000,3.531771
2004-03-12,9.990000,3.611299
2004-03-15,9.550000,3.452243
2004-03-16,9.190000,3.322106
2004-03-17,9.170000,3.314876
2004-03-18,9.000000,3.253423
2004-03-19,8.780000,3.173895
2004-03-22,8.950000,3.235348
2004-03-23,9.140000,3.304032
2004-03-24,9.440000,3.412479
2004-03-25,9.930000,3.589610
2004-03-26,10.050000,3.632989
2004-03-29,9.900000,3.578765
2004-03-30,9.620000,3.477548
2004-03-31,9.530000,3.445013
2004-04-01,9.570000,3.459473
2004-04-02,9.840000,3.557076
2004-04-05,9.930000,3.589610
2004-04-06,10.110000,3.654678
2004-04-07,10.220000,3.694442
2004-04-08,9.950000,3.596840
2004-04-12,10.110000,3.654678
2004-04-13,10.070000,3.640219
2004-04-14,10.160000,3.672753
2004-04-15,10.180000,3.689060
2004-04-16,10.060000,3.645574
2004-04-19,10.580000,3.834013
2004-04-20,10.390000,3.765161
2004-04-21,10.650000,3.859380
2004-04-22,10.910000,3.953600
2004-04-23,10.630000,3.852133
2004-04-26,10.720000,3.884747
2004-04-27,10.750000,3.895619
2004-04-28,10.810000,3.917362
2004-04-29,10.420000,3.776032
2004-04-30,10.460000,3.790527
2004-05-03,10.700000,3.877499
2004-05-04,10.250000,3.714427
2004-05-05,9.880000,3.580345
2004-05-06,9.570000,3.468006
2004-05-07,9.210000,3.337549
2004-05-10,8.790000,3.185348
2004-05-11,8.930000,3.236081
2004-05-12,9.130000,3.308558
2004-05-13,9.130000,3.308558
2004-05-14,9.130000,3.308558
2004-05-17,8.930000,3.236081
2004-05-18,8.980000,3.254200
2004-05-19,9.000000,3.261448
2004-05-20,8.870000,3.214338
2004-05-21,9.100000,3.297686
2004-05-24,9.270000,3.359292
2004-05-25,9.780000,3.544107
2004-05-26,9.960000,3.609336
2004-05-27,9.840000,3.565850
2004-05-28,9.660000,3.500621
2004-06-01,9.690000,3.511492
2004-06-02,9.790000,3.547731
2004-06-03,9.430000,3.417273
2004-06-04,9.830000,3.562226
2004-06-07,10.070000,3.649198
2004-06-08,10.180000,3.689060
2004-06-09,9.990000,3.620207
2004-06-10,10.120000,3.667317
2004-06-14,9.950000,3.605712
2004-06-15,10.370000,3.757913
2004-06-16,10.420000,3.776032
2004-06-17,10.260000,3.718051
2004-06-18,10.620000,3.848509
2004-06-21,10.710000,3.881123
2004-06-22,10.730000,3.888371
2004-06-23,11.000000,3.986214
2004-06-24,10.650000,3.859380
2004-06-25,10.810000,3.917362
2004-06-28,11.400000,4.131168
2004-06-29,11.050000,4.004333
2004-06-30,11.450000,4.149287
2004-07-01,10.990000,3.994802
2004-07-02,10.910000,3.965722
2004-07-06,10.560000,3.838499
2004-07-07,10.670000,3.878484
2004-07-08,10.140000,3.685832
2004-07-09,10.360000,3.765800
2004-07-12,10.130000,3.682197
2004-07-13,10.250000,3.725816
2004-07-14,10.650000,3.871214
2004-07-15,11.130000,4.045691
2004-07-16,10.200000,3.707641
2004-07-19,10.450000,3.798515
2004-07-20,10.650000,3.871214
2004-07-21,10.290000,3.740356
2004-07-22,10.230000,3.718546
2004-07-23,10.050000,3.653117
2004-07-26,10.160000,3.693101
2004-07-27,10.470000,3.805785
2004-07-28,10.290000,3.740356
2004-07-29,10.650000,3.871214
2004-07-30,10.410000,3.783975
2004-08-02,10.440000,3.794880
2004-08-03,10.210000,3.711276
2004-08-04,10.100000,3.671292
2004-08-05,9.360000,3.402306
2004-08-06,9.020000,3.278718
2004-08-09,9.240000,3.358687
2004-08-10,9.780000,3.554974
2004-08-11,9.740000,3.540434
2004-08-12,9.230000,3.355052
2004-08-13,9.090000,3.304163
2004-08-16,9.230000,3.355052
2004-08-17,9.130000,3.318702
2004-08-18,9.450000,3.435021
2004-08-19,9.190000,3.340512
2004-08-20,9.130000,3.318702
2004-08-23,8.770000,3.187844
2004-08-24,8.900000,3.235099
2004-08-25,8.980000,3.264178
2004-08-26,8.740000,3.176940
2004-08-27,8.780000,3.191479
2004-08-30,8.460000,3.075161
2004-08-31,8.440000,3.067891
2004-09-01,8.630000,3.136955
2004-09-02,8.630000,3.136955
2004-09-03,8.510000,3.093336
2004-09-07,9.000000,3.271448
2004-09-08,8.900000,3.235099
2004-09-09,9.240000,3.358687
2004-09-10,9.130000,3.318702
2004-09-13,9.320000,3.387766
2004-09-14,9.340000,3.395036
2004-09-15,9.270000,3.369592
2004-09-16,8.870000,3.224194
2004-09-17,9.020000,3.278718
2004-09-20,9.180000,3.336877
2004-09-21,9.450000,3.435021
2004-09-22,9.220000,3.351417
2004-09-23,9.140000,3.322337
2004-09-24,9.450000,3.435021
2004-09-27,9.140000,3.322337
2004-09-28,9.590000,3.485910
2004-09-29,9.920000,3.605863
2004-09-30,9.850000,3.593096
2004-10-01,10.610000,3.870329
2004-10-04,10.440000,3.808316
2004-10-05,10.340000,3.771838
2004-10-06,10.370000,3.782782
2004-10-07,10.190000,3.717121
2004-10-08,9.880000,3.604039
2004-10-11,10.020000,3.655108
2004-10-12,9.940000,3.625926
2004-10-13,9.540000,3.480013
2004-10-14,9.320000,3.399761
2004-10-15,10.840000,3.954229
2004-10-18,11.020000,4.019890
2004-10-19,11.290000,4.118381
2004-10-20,11.360000,4.143915
2004-10-21,11.470000,4.184041
2004-10-22,10.940000,3.990707
2004-10-25,11.360000,4.143915
2004-10-26,11.440000,4.173098
2004-10-27,11.720000,4.275236
2004-10-28,11.530000,4.205928
2004-10-29,11.540000,4.209576
2004-11-01,11.560000,4.216871
2004-11-02,11.490000,4.191337
2004-11-03,11.830000,4.315362
2004-11-04,11.660000,4.253350
2004-11-05,11.790000,4.300771
2004-11-08,11.800000,4.304419
2004-11-09,12.300000,4.486810
2004-11-10,12.250000,4.468571
2004-11-11,12.420000,4.530583
2004-11-12,12.350000,4.505049
2004-11-15,12.100000,4.413853
2004-11-16,11.870000,4.329954
2004-11-17,12.260000,4.472218
2004-11-18,12.260000,4.472218
2004-11-19,11.540000,4.209576
2004-11-22,12.280000,4.479514
2004-11-23,12.650000,4.614483
2004-11-24,13.010000,4.745804
2004-11-26,12.890000,4.702031
2004-11-29,12.970000,4.731213
2004-11-30,12.700000,4.632722
2004-12-01,13.200000,4.815113
2004-12-02,12.950000,4.723917
2004-12-03,12.940000,4.720270
2004-12-06,12.700000,4.632722
2004-12-07,12.250000,4.468571
2004-12-08,13.070000,4.767691
2004-12-09,12.910000,4.709326
2004-12-10,12.470000,4.548822
2004-12-13,12.740000,4.647313
2004-12-14,13.050000,4.760396
2004-12-15,13.120000,4.785930
2004-12-16,12.930000,4.716622
2004-12-17,12.710000,4.636370
2004-12-20,12.520000,4.567062
2004-12-21,12.520000,4.567062
2004-12-22,12.920000,4.712974
2004-12-23,12.760000,4.654609
2004-12-27,12.610000,4.599892
2004-12-28,13.270000,4.840647
2004-12-29,13.140000,4.793226
2004-12-30,13.140000,4.793226
2004-12-31,12.820000,4.676496
2005-01-03,12.670000,4.621779
2005-01-04,11.950000,4.359136
2005-01-05,11.920000,4.348193
2005-01-06,12.030000,4.401242
2005-01-07,11.640000,4.258558
2005-01-10,11.850000,4.335388
2005-01-11,11.680000,4.273192
2005-01-12,11.500000,4.207338
2005-01-13,11.430000,4.181728
2005-01-14,11.790000,4.313436
2005-01-18,11.810000,4.320754
2005-01-19,11.500000,4.207338
