date,close,adj_close
2002-05-08,1.690000,1.554208
2002-05-09,1.670000,1.535815
2002-05-10,1.690000,1.554208
2002-05-13,1.650000,1.517422
2002-05-14,1.630000,1.499029
2002-05-15,1.630000,1.499029
2002-05-16,1.680000,1.545012
2002-05-17,1.700000,1.563405
2002-05-20,1.730000,1.590994
2002-05-21,1.870000,1.719745
2002-05-22,1.900000,1.747335
2002-05-23,2.070000,1.903675
2002-05-24,2.000000,1.839300
2002-05-28,1.970000,1.811710
2002-05-29,1.910000,1.756531
2002-05-30,1.790000,1.646173
2002-05-31,1.810000,1.664566
2002-06-03,1.870000,1.719745
2002-06-04,1.730000,1.590994
2002-06-06,1.720000,1.581798
2002-06-07,1.710000,1.572601
2002-06-10,1.640000,1.508226
2002-06-11,1.660000,1.526619
2002-06-12,1.670000,1.535815
2002-06-13,1.660000,1.526619
2002-06-14,1.610000,1.480636
2002-06-17,1.600000,1.471440
2002-06-18,1.630000,1.499029
2002-06-19,1.600000,1.471440
2002-06-20,1.600000,1.471440
2002-06-21,1.600000,1.471440
2002-06-24,1.570000,1.443850
2002-06-25,1.670000,1.535815
2002-06-26,1.570000,1.443850
2002-06-27,1.670000,1.535815
2002-06-28,1.670000,1.535815
2002-07-01,1.570000,1.443850
2002-07-02,1.580000,1.453047
2002-07-03,1.600000,1.471440
2002-07-05,1.600000,1.471440
2002-07-08,1.630000,1.499029
2002-07-09,1.730000,1.590994
2002-07-10,1.640000,1.508226
2002-07-11,1.690000,1.554208
2002-07-12,1.670000,1.535815
2002-07-15,1.800000,1.655370
2002-07-16,1.670000,1.535815
2002-07-17,1.670000,1.535815
2002-07-18,1.640000,1.508226
2002-07-19,1.610000,1.480636
2002-07-22,1.610000,1.480636
2002-07-23,1.610000,1.480636
2002-07-24,1.520000,1.397868
2002-07-25,1.430000,1.315099
2002-07-26,1.440000,1.324296
2002-07-29,1.530000,1.407064
2002-07-30,1.670000,1.535815
2002-07-31,1.690000,1.554208
2002-08-01,1.670000,1.535815
2002-08-02,1.670000,1.535815
2002-08-05,1.670000,1.535815
2002-08-06,1.670000,1.535815
