date,close,adj_close
2002-09-17,6.840000,5.239261
2002-09-18,6.810000,5.216282
2002-09-19,6.780000,5.193303
2002-09-20,6.760000,5.177983
2002-09-23,6.640000,5.086066
2002-09-24,6.580000,5.040108
2002-09-25,6.620000,5.070747
2002-09-26,6.300000,4.825635
2002-09-27,6.270000,4.802656
2002-09-30,6.150000,4.710739
2002-10-01,6.030000,4.618822
2002-10-02,5.800000,4.442648
2002-10-03,5.860000,4.488607
2002-10-04,5.900000,4.519246
2002-10-07,5.840000,4.473287
2002-10-08,5.340000,4.090300
2002-10-09,5.080000,3.891147
2002-10-10,4.910000,3.760931
2002-10-11,5.490000,4.205196
2002-10-14,5.670000,4.343072
2002-10-15,5.390000,4.128599
2002-10-16,5.400000,4.136259
2002-10-17,5.870000,4.496266
2002-10-18,5.670000,4.343072
2002-10-21,5.420000,4.151578
2002-10-22,5.590000,4.281794
2002-10-23,5.460000,4.182217
2002-10-24,5.300000,4.059661
2002-10-25,5.500000,4.212856
2002-10-28,5.510000,4.220516
2002-10-29,5.820000,4.457968
2002-10-30,5.710000,4.373711
2002-10-31,5.530000,4.235835
2002-11-01,5.700000,4.366051
2002-11-04,5.760000,4.412009
2002-11-05,5.890000,4.511586
2002-11-06,5.950000,4.557544
2002-11-07,6.280000,4.810316
2002-11-08,6.360000,4.871594
2002-11-11,6.370000,4.879253
2002-11-12,6.360000,4.871594
2002-11-13,5.810000,4.450308
2002-11-14,5.600000,4.289453
2002-11-15,6.080000,4.657121
2002-11-18,5.780000,4.427329
2002-11-19,5.670000,4.343072
2002-11-20,5.690000,4.358391
2002-11-21,5.350000,4.097960
2002-11-22,5.250000,4.021363
2002-11-25,5.310000,4.067321
2002-11-26,5.390000,4.128599
2002-11-27,5.400000,4.136259
2002-11-29,5.400000,4.136259
2002-12-02,5.340000,4.090300
2002-12-03,5.900000,4.519246
2002-12-04,6.050000,4.634142
2002-12-05,6.040000,4.626482
2002-12-06,6.160000,4.718399
2002-12-09,6.090000,4.664781
2002-12-10,5.840000,4.473287
2002-12-11,5.850000,4.480947
2002-12-12,6.990000,5.354157
2002-12-13,7.240000,5.545650
2002-12-16,7.190000,5.507352
2002-12-17,6.850000,5.246921
2002-12-18,6.970000,5.338838
2002-12-19,6.770000,5.185643
2002-12-20,6.900000,5.285219
2002-12-23,7.110000,5.446074
2002-12-24,7.140000,5.469053
2002-12-26,7.880000,6.035874
2002-12-27,7.590000,5.813741
2002-12-30,7.460000,5.714165
2002-12-31,7.840000,6.005235
2003-01-02,7.890000,6.043533
2003-01-03,8.120000,6.219707
2003-01-06,7.910000,6.058853
2003-01-07,7.630000,5.844380
2003-01-08,8.030000,6.150770
2003-01-09,8.220000,6.296305
2003-01-10,8.270000,6.334604
2003-01-13,8.180000,6.265666
2003-01-14,7.500000,5.744804
2003-01-15,7.350000,5.629908
2003-01-16,7.790000,5.966936
2003-01-17,7.560000,5.790762
2003-01-21,7.560000,5.790762
2003-01-22,7.870000,6.028214
2003-01-23,7.880000,6.035874
2003-01-24,8.060000,6.173749
2003-01-27,7.760000,5.943957
2003-01-28,7.660000,5.867359
2003-01-29,7.590000,5.813741
2003-01-30,7.790000,5.966936
2003-01-31,7.760000,5.943957
2003-02-03,7.500000,5.744804
2003-02-04,8.150000,6.242687
